axis,fpr,tpr,threshold
I/E,0.008652094717668488,0.04936692671697148,0.8441910542964145
I/E,0.008652094717668488,0.049750607494564524,0.8440510654001242
I/E,0.009107468123861567,0.049750607494564524,0.843987515859751
I/E,0.009107468123861567,0.04987850108709554,0.843865449490886
I/E,0.009562841530054645,0.04987850108709554,0.8438158457214905
I/E,0.009562841530054645,0.05026218186468858,0.843361103825285
I/E,0.010018214936247723,0.05026218186468858,0.8433425137209531
I/E,0.010018214936247723,0.05090164982734365,0.8429407308011347
I/E,0.010473588342440802,0.05090164982734365,0.842491803839233
I/E,0.010473588342440802,0.051541117789998724,0.8418346029409678
I/E,0.01092896174863388,0.051541117789998724,0.8417987068466267
I/E,0.01092896174863388,0.05371530886302596,0.8401380249733574
I/E,0.011384335154826957,0.05371530886302596,0.8401247903673138
I/E,0.011384335154826957,0.053843202455556974,0.8400677247287168
I/E,0.012295081967213115,0.053843202455556974,0.8398740789639296
I/E,0.012295081967213115,0.05640107430617726,0.8381997987881751
I/E,0.012750455373406194,0.05640107430617726,0.8379037424473407
I/E,0.012750455373406194,0.05691264867630132,0.8371684400944605
I/E,0.013205828779599272,0.05691264867630132,0.8371639958751447
I/E,0.013205828779599272,0.05870315897173552,0.8362332978217881
I/E,0.01366120218579235,0.05870315897173552,0.8360893812767575
I/E,0.01366120218579235,0.06151681800741783,0.8336525294479342
I/E,0.014116575591985429,0.06151681800741783,0.8335722696840429
I/E,0.014116575591985429,0.061900498785010874,0.8332934156083269
I/E,0.014571948998178506,0.061900498785010874,0.8332176932437608
I/E,0.014571948998178506,0.06305154111779,0.8321268938964762
I/E,0.015027322404371584,0.06305154111779,0.8321149115357767
I/E,0.015027322404371584,0.06560941296841029,0.8299213552522399
I/E,0.015482695810564663,0.06560941296841029,0.829854315621876
I/E,0.015482695810564663,0.06688834889372043,0.8291589288435681
I/E,0.015938069216757743,0.06688834889372043,0.8290534399485142
I/E,0.015938069216757743,0.06701624248625145,0.829047541111269
I/E,0.01639344262295082,0.06701624248625145,0.8290305881537865
I/E,0.01639344262295082,0.06727202967131347,0.8288312631570294
I/E,0.016848816029143898,0.06727202967131347,0.8287165504822358
I/E,0.016848816029143898,0.0685509655966236,0.8280342962595159
I/E,0.017304189435336976,0.0685509655966236,0.8279557416803448
I/E,0.017304189435336976,0.06906253996674766,0.8274789891524095
I/E,0.017759562841530054,0.06906253996674766,0.8274155715131609
I/E,0.017759562841530054,0.07021358229952679,0.8264802984208963
I/E,0.018214936247723135,0.07021358229952679,0.8263515859578561
I/E,0.018214936247723135,0.0739224964829262,0.8233638131274222
I/E,0.018670309653916212,0.0739224964829262,0.8233049527924969
I/E,0.018670309653916212,0.07596879396342243,0.821776009789067
I/E,0.01912568306010929,0.07596879396342243,0.8215693286742256
I/E,0.01912568306010929,0.07865455940657373,0.8201145809579589
I/E,0.019581056466302368,0.07865455940657373,0.8200822654086409
