axis,recall,precision,threshold
I/E,0.9892569382273948,0.7875980042765502,0.18399352651951276
I/E,0.9891290446348638,0.7875763747454175,0.18429857715210884
I/E,0.9891290446348638,0.7876565841735411,0.18433421153177726
I/E,0.9891290446348638,0.7877368099409249,0.18435568016104778
I/E,0.9890011510423328,0.787715187939289,0.1844195500834167
I/E,0.9890011510423328,0.7877954360228199,0.1850110587561396
I/E,0.9888732574498018,0.7877738155883851,0.18510642005701636
I/E,0.9888732574498018,0.7878540859995924,0.18511452540440876
I/E,0.9887453638572707,0.7878324671354325,0.1852180280787664
I/E,0.9887453638572707,0.7879127598858541,0.18549298034484854
I/E,0.9887453638572707,0.787993069004179,0.18552640484835398
I/E,0.9886174702647398,0.7879714576962283,0.18557739546585758
I/E,0.9886174702647398,0.7880517891732083,0.18582199211640077
I/E,0.9884895766722087,0.7880301794453507,0.1860187729969501
I/E,0.9884895766722087,0.7881105332925461,0.18636692152368506
I/E,0.9884895766722087,0.788190903528452,0.1867659696685754
I/E,0.9884895766722087,0.7882712901580826,0.1872284863817016
I/E,0.9883616830796778,0.7882496940024479,0.18761926008293645
I/E,0.9883616830796778,0.7883301030296848,0.18834585046430677
I/E,0.9883616830796778,0.7884105284635788,0.18849326243674533
I/E,0.9882337894871467,0.7883889399040914,0.18855513640289145
I/E,0.9882337894871467,0.788469387755102,0.18861532370321676
I/E,0.9882337894871467,0.7885498520257169,0.1889961941948918
I/E,0.9882337894871467,0.7886303327209635,0.1896890161086991
I/E,0.9882337894871467,0.7887108298458712,0.18975126596128908
I/E,0.9882337894871467,0.7887913434054716,0.1904534833304156
I/E,0.9881058958946157,0.7887697805002553,0.19062699322292145
I/E,0.9881058958946157,0.7888503165203186,0.19100865371148962
I/E,0.9879780023020847,0.78882875523333,0.19138659141991843
I/E,0.9879780023020847,0.7889093137254902,0.19139016365962924
I/E,0.9879780023020847,0.7889898886732714,0.19223461841381068
I/E,0.9879780023020847,0.789070480081716,0.1926552629320084
I/E,0.9878501087095537,0.7890489324752273,0.19309236736617713
I/E,0.9877222151170226,0.7890273804658766,0.19310891928509466
I/E,0.9875943215244917,0.7890058240523143,0.1932293494349967
I/E,0.9874664279319606,0.7889842632331903,0.19354119121621646
I/E,0.9874664279319606,0.7890648952478283,0.19389160021874843
I/E,0.9874664279319606,0.7891455437448897,0.19433234510969336
I/E,0.9873385343394296,0.7891239905959317,0.19438254190963963
I/E,0.9873385343394296,0.7892046616233899,0.1946117318455424
I/E,0.9873385343394296,0.7892853491463041,0.19493965867264643
I/E,0.9872106407468986,0.7892638036809816,0.19497368100879306
I/E,0.9872106407468986,0.7893445137539625,0.1951098921845991
I/E,0.9870827471543676,0.7893229699325015,0.1953358504838305
I/E,0.9870827471543676,0.7894037025672497,0.19538388421907685
I/E,0.9869548535618365,0.7893821603927987,0.19569700199441883
I/E,0.9868269599693056,0.7893606138107417,0.1965087925424205
I/E,0.9866990663767745,0.7893390628197258,0.19658516968203307
I/E,0.9866990663767745,0.7894198301442751,0.19658867145352618
I/E,0.9865711727842436,0.7893982808022922,0.1967167506705757
I/E,0.9864432791917125,0.789376727049432,0.1968328777811113
I/E,0.9863153855991815,0.7893551688843398,0.1971493288572956
I/E,0.9861874920066505,0.7893336063056607,0.19744974483771177
I/E,0.9861874920066505,0.7894144144144144,0.19772470920744428
I/E,0.9860595984141195,0.7893928534862291,0.19810706476496612
I/E,0.9859317048215884,0.7893712881425353,0.19821789712719515
I/E,0.9859317048215884,0.7894521249359959,0.19857277930132775
I/E,0.9858038112290575,0.7894305612453912,0.1986780132227179
I/E,0.9858038112290575,0.789511420669876,0.19899928987100754
I/E,0.9856759176365264,0.7894898586355255,0.19915924965011536
I/E,0.9856759176365264,0.7895707407027969,0.1992772165431199
I/E,0.9855480240439954,0.7895491803278688,0.19947207731170657
I/E,0.9855480240439954,0.7896300850496977,0.19951758361125838
I/E,0.9854201304514644,0.7896085263373642,0.2000936953595413
I/E,0.9854201304514644,0.7896894537255303,0.20021459013433482
I/E,0.9852922368589334,0.7896678966789668,0.20061665304832457
I/E,0.9852922368589334,0.7897488467452588,0.20092105055912776
I/E,0.9851643432664023,0.7897272913676441,0.2013040144494767
I/E,0.9850364496738714,0.7897057315697734,0.2017731242740378
I/E,0.9850364496738714,0.7897867104183757,0.2018399940595936
I/E,0.9850364496738714,0.7898677058763204,0.20216221320262498
I/E,0.9849085560813403,0.7898461538461539,0.20227572366911975
I/E,0.9847806624888094,0.7898245973946045,0.20357624472229666
I/E,0.9847806624888094,0.7899056216659828,0.20381262551876175
I/E,0.9847806624888094,0.7899866625628399,0.20414114191754976
I/E,0.9847806624888094,0.7900677200902935,0.20468162903170206
I/E,0.9847806624888094,0.7901487942534633,0.20476431998783232
I/E,0.9846527688962783,0.7901272577996716,0.20479844540276995
I/E,0.9845248753037473,0.7901057169249718,0.2052144914237875
I/E,0.9845248753037473,0.7901868199548348,0.20546352505277327
I/E,0.9843969817112163,0.7901652807719947,0.2055216304640042
I/E,0.9843969817112163,0.7902464065708419,0.20566064840082157
I/E,0.9842690881186853,0.7902248690830681,0.2058233530160792
I/E,0.9841411945261542,0.7902033271719039,0.20585654182091995
I/E,0.9840133009336233,0.7901817808359864,0.20585978181785977
I/E,0.9838854073410922,0.7901602300739523,0.20604600282942478
I/E,0.9837575137485612,0.7901386748844376,0.20638495195933132
